Y,X1,X2,X3,X4,X5
207.2,36008.66602,8.5,149.65,186.944,74.6788
205.5,34544.5667,7.5,147.45456,183.84,75.609
203.5,33801.6553,7.5,143.8623,192.387,70.9377
201.3,33938.30627,6.75,137.1364512,172.671,72.7467
200.1,33760.28057,6.5,132.247872,163.756,73.5434
199.8,33519.19221,5.5,130.5066736,166.138,73.1467
199.1,33753.7026,5.5,130.1658156,161.724,72.2201
197.8,33276.67265,5,13.605032,155.669,73.1765
196.3,33030.33572,4.5,130.2561472,145.041,75.2074
195.2,32198.2221,4.5,135.9591896,141.247,75.6757
193.9,32157.86537,4.25,120.337084,140.567,74.6245
192.4,31520.26935,4.25,121.403541,137.395,75.7464
191.1,31785.62076,4.25,155.181,125.537,74.1834
189.6,30394.7755,4.25,137.808,115.144,75.8639
188.2,29622.31275,4.25,133.95,110.615,79.5305
187.4,29513.46171,4.25,128.2848,108.208,78.1899
187.6,29027.3889,4.25,126.432,108.927,74.0195
187.6,28088.21645,4.5,121.7413,103.081,74.3869
187,27817.2892,4.5,118.1178,99.875,69.7849
186.6,26471.41188,5.5,114.328,91.334,70.1542
186.1,25991.35133,6,121.5076,83.971,74.5665
184.5,25136.3723,6,133.8181,93.73,78.8055
183.5,24023.9441,6,124.831,110.94,66.8886
182.9,23357.47373,6.25,124.1345,119.566,63.9238
182.2,23861.71612,6.25,149.5,119.992,62.0357
181.5,22527.75498,6.5,139.2,116.982,64.319
181,22135.22745,7,141,113.009,63.8659
180.8,22430.04331,7,132.8,114.809,64.6807
181.1,21953.45888,7.25,131.7,112.095,66.7765
181.5,21743.8044,7.5,129.1,117.968,63.3549
181.2,21717.67199,7.5,126.6,115.529,63.21
181.1,21088.39556,7.75,124,120.478,65.4289
180.5,21173.82869,7.75,127.1,123.417,64.7383
179.9,20810.64207,7.75,130.3,119.91,65.6304
179.4,20944.13889,7.75,119,119.012,65.3837
178.6,20748.28106,7.75,122.3,117.078,65.997
176.8,21624.12952,7.75,147,115.963,69.5405
175.3,20572.90812,7.5,136.3,121.853,66.976
174.5,20485.02244,7.5,136.9,133.426,65.7129
173.9,20575.52105,7.5,127.9,132.426,65.5532
173.6,20596.28436,7.25,128.2,127.977,67.5427
173.6,20669.58123,7.25,125.5,130.275,62.7982
173.1,20604.37394,7.25,124.2,131.968,62.7416
172.3,20077.63603,7.25,124,133.051,62.3004
171.6,19759.19635,7.25,122.1,128.366,62.1564
171,19347.67975,7.5,128,126.365,57.1305
170.5,19249.42487,7.5,114.9,126.822,56.5215
170.1,18864.3688,7.75,120,129.84,56.2681
169.6,19508.8808,7.75,138.1,122.578,57.6258
168.9,18368.08316,8.25,130.6,120.849,58.3703
168.5,18137.91352,8.5,130,116.086,58.0728
168.2,18009.29335,8.5,125,114.568,57.4938
168.4,18076.4956,9,124.8,111.372,58.5855
169.3,18058.09841,9,121.3,108.482,59.5514
169.2,18040.46942,9,121.8,105.644,58.943
168.2,17685.6429,9.25,119.9,108.838,56.518
167.6,17287.50864,9.75,118.3,110.976,56.93
167,17305.91936,10,124.6,110.869,56.2649
166.8,17496.70529,10,111.4,116.37,58.4432
166.5,17325.50604,10,116.8,115.912,59.8209
165.4,17642.41814,10,137.7,111.643,61.2668
164.8,16583.92617,10,129.2,105.446,64.9531
164.1,16494.2953,10,127.1,106.57,63.009
163.3,16523.71717,10,120.2,103.356,62.8495
163.1,16697.36857,10.5,118.7,103.306,64.8528
163.1,16647.1775,10.5,116,102.828,66.0262
162.2,16850.14941,10.5,115.4,103.209,65.2722
161.6,16736.11017,11,112.9,100.582,66.1154
160.9,16310.43699,11,113.4,96.759,64.6641
160.2,16402.04057,11,120.3,93.609,68.4476
159.5,16093.56271,11,109.7,87.371,76.1944
158.5,15907.28725,11,109.6,85.322,75.4522
157,16515.57779,11,132.5,90.754,70.673
155.8,15249.53038,11,122.8,96.226,66.4662
154.6,14788.52743,11,123.4,102.317,63.9303
153.5,14981.1672,11,117.3,102.363,65.522
152.6,15178.51635,11,116.1,102.52,65.3997
152.1,14963.56436,11.5,115.6,109.744,61.7308
150.9,15024.30148,11.5,114.1,116.502,54.7952
150.6,14823.0444,12.5,112.4,118.693,52.3445
150,14753.65456,14,113.6,114.843,50.8906
149.4,14749.79792,14,119.2,113.572,57.9017
147.6,14921.04008,15,107.5,117.589,61.6094
144.4,14955.20177,17,110.6,114.225,68.9592
139,15341.4229,17,127.5,126.235,53.9294
135.5,14721,9.5,118,139.596,49.323
133.8,14260.1,8,118.2,146.427,42.9389
132.7,14747,8,112.5,155.058,39.1309
131.8,14784.3,8,109.5,160.137,37.0959
131.5,14791.3,7.5,109.7,165.681,35.0817
130.9,14939.498,7.5,107.4,169.075,33.7335
130.1,14700.2,7.5,107.5,168.76,34.8522
128.9,14776.5,7,107.9,170.998,36.031
127.8,14743.1,7,110.9,169.83,35.6657
126.5,14971.4,5.5,101.1,170.992,35.9063
125.6,14694.9,5.5,99.5,166.688,35.2498
