Y,X1,X2,X3,X4,X5
0,36008.66602,8.5,149.65,186.944,74.6788
-0.008238476,34544.5667,7.5,147.45456,183.84,75.609
-0.009780029,33801.6553,7.5,143.8623,192.387,70.9377
-0.010869672,33938.30627,6.75,137.1364512,172.671,72.7467
-0.005979091,33760.28057,6.5,132.247872,163.756,73.5434
-0.001500375,33519.19221,5.5,130.5066736,166.138,73.1467
-0.003509655,33753.7026,5.5,130.1658156,161.724,72.2201
-0.006550792,33276.67265,5,13.605032,155.669,73.1765
-0.007612318,33030.33572,4.5,130.2561472,145.041,75.2074
-0.005619427,32198.2221,4.5,135.9591896,141.247,75.6757
-0.006682112,32157.86537,4.25,120.337084,140.567,74.6245
-0.007766024,31520.26935,4.25,121.403541,137.395,75.7464
-0.006779687,31785.62076,4.25,155.181,125.537,74.1834
-0.007880261,30394.7755,4.25,137.808,115.144,75.8639
-0.007411363,29622.31275,4.25,133.95,110.615,79.5305
-0.004259857,29513.46171,4.25,128.2848,108.208,78.1899
0.001066667,29027.3889,4.25,126.432,108.927,74.0195
0,28088.21645,4.5,121.7413,103.081,74.3869
-0.00320342,27817.2892,4.5,118.1178,99.875,69.7849
-0.002141328,26471.41188,5.5,114.328,91.334,70.1542
-0.002683125,25991.35133,6,121.5076,83.971,74.5665
-0.0086347,25136.3723,6,133.8181,93.73,78.8055
-0.005434796,24023.9441,6,124.831,110.94,66.8886
-0.003275112,23357.47373,6.25,124.1345,119.566,63.9238
-0.003834571,23861.71612,6.25,149.5,119.992,62.0357
-0.003849331,22527.75498,6.5,139.2,116.982,64.319
-0.002758622,22135.22745,7,141,113.009,63.8659
-0.001105583,22430.04331,7,132.8,114.809,64.6807
0.001657917,21953.45888,7.25,131.7,112.095,66.7765
0.002206289,21743.8044,7.5,129.1,117.968,63.3549
-0.00165426,21717.67199,7.5,126.6,115.529,63.21
-0.000552029,21088.39556,7.75,124,120.478,65.4289
-0.003318587,21173.82869,7.75,127.1,123.417,64.7383
-0.003329637,20810.64207,7.75,130.3,119.91,65.6304
-0.002783191,20944.13889,7.75,119,119.012,65.3837
-0.004469281,20748.28106,7.75,122.3,117.078,65.997
-0.010129518,21624.12952,7.75,147,115.963,69.5405
-0.008520358,20572.90812,7.5,136.3,121.853,66.976
-0.00457405,20485.02244,7.5,136.9,133.426,65.7129
-0.00344432,20575.52105,7.5,127.9,132.426,65.5532
-0.001726619,20596.28436,7.25,128.2,127.977,67.5427
0,20669.58123,7.25,125.5,130.275,62.7982
-0.00288434,20604.37394,7.25,124.2,131.968,62.7416
-0.004632319,20077.63603,7.25,124,133.051,62.3004
-0.004070956,19759.19635,7.25,122.1,128.366,62.1564
-0.003502631,19347.67975,7.5,128,126.365,57.1305
-0.00292826,19249.42487,7.5,114.9,126.822,56.5215
-0.002348797,18864.3688,7.75,120,129.84,56.2681
-0.002943776,19508.8808,7.75,138.1,122.578,57.6258
-0.0041359,18368.08316,8.25,130.6,120.849,58.3703
-0.002371074,18137.91352,8.5,130,116.086,58.0728
-0.001782002,18009.29335,8.5,125,114.568,57.4938
0.001188354,18076.4956,9,124.8,111.372,58.5855
0.005330187,18058.09841,9,121.3,108.482,59.5514
-0.000590842,18040.46942,9,121.8,105.644,58.943
-0.0059277,17685.6429,9.25,119.9,108.838,56.518
-0.003573559,17287.50864,9.75,118.3,110.976,56.93
-0.003586376,17305.91936,10,124.6,110.869,56.2649
-0.001198322,17496.70529,10,111.4,116.37,58.4432
-0.001800181,17325.50604,10,116.8,115.912,59.8209
-0.006628527,17642.41814,10,137.7,111.643,61.2668
-0.003634165,16583.92617,10,129.2,105.446,64.9531
-0.004256619,16494.2953,10,127.1,106.57,63.009
-0.004886998,16523.71717,10,120.2,103.356,62.8495
-0.00122549,16697.36857,10.5,118.7,103.306,64.8528
0,16647.1775,10.5,116,102.828,66.0262
-0.005533368,16850.14941,10.5,115.4,103.209,65.2722
-0.003705996,16736.11017,11,112.9,100.582,66.1154
-0.004341092,16310.43699,11,113.4,96.759,64.6641
-0.004360019,16402.04057,11,120.3,93.609,68.4476
-0.004379112,16093.56271,11,109.7,87.371,76.1944
-0.006289329,15907.28725,11,109.6,85.322,75.4522
-0.009508788,16515.57779,11,132.5,90.754,70.673
-0.007672672,15249.53038,11,122.8,96.226,66.4662
-0.007731997,14788.52743,11,123.4,102.317,63.9303
-0.007140569,14981.1672,11,117.3,102.363,65.522
-0.005880448,15178.51635,11,116.1,102.52,65.3997
-0.00328192,14963.56436,11.5,115.6,109.744,61.7308
-0.007920833,15024.30148,11.5,114.1,116.502,54.7952
-0.00199005,14823.0444,12.5,112.4,118.693,52.3445
-0.003992021,14753.65456,14,113.6,114.843,50.8906
-0.004008021,14749.79792,14,119.2,113.572,57.9017
-0.012121361,14921.04008,15,107.5,117.589,61.6094
-0.021918686,14955.20177,17,110.6,114.225,68.9592
-0.038113293,15341.4229,17,127.5,126.235,53.9294
-0.025502293,14721,9.5,118,139.596,49.323
-0.012625493,14260.1,8,118.2,146.427,42.9389
-0.008255206,14747,8,112.5,155.058,39.1309
-0.006805319,14784.3,8,109.5,160.137,37.0959
-0.00227877,14791.3,7.5,109.7,165.681,35.0817
-0.004573179,14939.498,7.5,107.4,169.075,33.7335
-0.006130287,14700.2,7.5,107.5,168.76,34.8522
-0.009266476,14776.5,7,107.9,170.998,36.031
-0.008570368,14743.1,7,110.9,169.83,35.6657
-0.010224234,14971.4,5.5,101.1,170.992,35.9063
-0.007140054,14694.9,5.5,99.5,166.688,35.2498
